City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
39,Jamestown,US,2022-05-22 05:32:16,42.097,-79.2353,63.99,95,20,5.75
40,Olutanga,PH,2022-05-22 05:36:26,7.3106,122.8464,84.27,68,94,7.0
41,Turukhansk,RU,2022-05-22 05:36:26,65.8167,87.9833,61.86,51,34,2.21
42,Marawi,PH,2022-05-22 05:35:16,7.9986,124.2928,77.45,85,90,2.59
43,Tiksi,RU,2022-05-22 05:36:26,71.6872,128.8694,31.53,92,100,4.41
44,Adrar,MR,2022-05-22 05:36:27,20.5022,-10.0711,83.73,12,2,8.93
45,Birin,NP,2022-05-22 05:36:27,26.8865,88.0718,71.24,66,67,6.06
46,Chokurdakh,RU,2022-05-22 05:28:09,70.6333,147.9167,34.45,100,100,1.77
47,Banda Aceh,ID,2022-05-22 05:35:11,5.5577,95.3222,87.12,66,17,18.32
48,Punta Arenas,CL,2022-05-22 05:28:12,-53.15,-70.9167,35.71,87,75,5.75
49,Torbay,CA,2022-05-22 05:37:27,47.6666,-52.7314,52.57,59,100,12.66
50,Rikitea,PF,2022-05-22 05:29:14,-23.1203,-134.9692,75.56,77,5,13.33
51,Tasiilaq,GL,2022-05-22 05:37:27,65.6145,-37.6368,32.16,72,56,4.0
52,Gisborne,NZ,2022-05-22 05:37:28,-38.6533,178.0042,59.5,64,10,11.05
53,Norrtalje,SE,2022-05-22 05:37:28,59.758,18.705,51.03,50,100,5.46
54,Saint-Philippe,RE,2022-05-22 05:35:13,-21.3585,55.7679,76.59,73,15,10.54
55,Gaogou,CN,2022-05-22 05:37:28,34.0175,119.1886,91.06,24,90,8.52
56,Faanui,PF,2022-05-22 05:37:28,-16.4833,-151.75,80.49,73,11,11.5
57,Laguna,US,2022-05-22 05:37:29,38.421,-121.4238,73.4,38,0,6.91
58,Barrow,US,2022-05-22 05:25:04,71.2906,-156.7887,23.02,93,100,11.5
59,Qaanaaq,GL,2022-05-22 05:37:29,77.484,-69.3632,15.46,83,99,5.7
60,Ellenabad,IN,2022-05-22 05:37:29,29.45,74.65,106.18,8,0,2.91
61,Humberto De Campos,BR,2022-05-22 05:37:30,-2.5983,-43.4611,71.47,97,74,1.1
62,Someshwar,IN,2022-05-22 05:37:30,13.5,75.0667,82.58,78,93,5.57
