City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
440,Kutum,SD,74.12,few clouds,14.2,24.6667,Dibbo areaمنطقة دبو
442,Nago,JP,74.25,light rain,26.5881,127.9761,Hotel Yugaf Inn Okinawa
443,Ugoofaaru,MV,83.12,broken clouds,5.6667,73.0,Ungoofaaru Inn
445,Puerto Escondido,MX,84.16,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
449,Yurimaguas,PE,79.18,broken clouds,-5.9,-76.0833,Rio Huallaga Hotel & Business Center
451,Cayenne,GF,82.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
454,Saint-Georges,GD,82.08,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
455,Soyo,AO,74.3,broken clouds,-6.1349,12.3689,Hotel Mpampa
458,Port Keats,AU,80.82,broken clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
460,Xiongyue,CN,73.92,broken clouds,40.1774,122.1228,Samsung Business Hotel
473,Luang Prabang,LA,74.35,moderate rain,19.8856,102.1347,The Apsara
477,Manggar,ID,83.43,broken clouds,-2.8833,108.2667,Guest Hotel
478,Port Said,EG,71.58,clear sky,31.2565,32.2841,Aracan Hotel
479,Naze,JP,70.72,overcast clouds,28.3667,129.4833,Shishime Hotel
480,Coahuayana,MX,81.91,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
481,Sola,VU,81.46,few clouds,-13.8833,167.55,Leumerus Bungalows
483,Waingapu,ID,81.77,few clouds,-9.6567,120.2641,Pondok Wisata Elim
484,Martinsville,US,70.45,overcast clouds,36.6915,-79.8725,Hampton Inn Martinsville
487,Hurricane,US,86.34,overcast clouds,37.1753,-113.2899,Super 8 by Wyndham Hurricane Zion National Park
489,Visavadar,IN,81.23,scattered clouds,21.3833,70.6833,Brahmanad Dham Guest House
490,Port Saint Lucie,US,83.03,few clouds,27.2939,-80.3503,Best Western Port St. Lucie
493,Bairiki,KI,86.0,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
494,Oussouye,SN,74.44,overcast clouds,12.485,-16.5469,Auberge du Routard
495,Bagarji,PK,86.0,haze,27.756,68.7524,Bahadur ramejo residency
502,Puerto Carreno,CO,78.84,moderate rain,6.189,-67.4859,Casa Hotel Victoria
503,Grafton,US,80.51,overcast clouds,42.207,-71.6856,The Grafton Inn
505,Merauke,ID,83.08,few clouds,-8.4667,140.3333,
507,Latiano,IT,70.83,few clouds,40.5529,17.7205,Tenuta Moreno
508,Pontianak,ID,78.78,few clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
513,Tual,ID,83.26,few clouds,-5.6667,132.75,Grand Vilia Hotel
514,Auburn,US,75.2,broken clouds,47.3073,-122.2284,La Quinta Inn & Suites by Wyndham Auburn
516,Makakilo City,US,82.15,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
519,Kedougou,SN,87.42,broken clouds,12.5579,-12.1743,Relais de Kédougou
520,Shingu,JP,74.88,clear sky,33.7333,135.9833,Shingu UI Hotel
521,Tall Kayf,TR,79.99,few clouds,37.0833,41.0667,
527,Tiznit,MA,73.27,clear sky,29.5833,-9.5,
528,Gold Coast,AU,70.25,mist,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
532,San Policarpo,PH,82.31,broken clouds,12.1791,125.5072,Agapita M. Nicart
533,Santa Ana,US,82.08,clear sky,33.7456,-117.8678,"Motel 6 Santa Ana, CA"
538,Basoko,CD,73.04,overcast clouds,1.2391,23.616,Jackyna Hotel
539,Barkhan,PK,73.18,clear sky,29.8977,69.5256,Sardar
540,Bukid,PH,81.91,light rain,5.5717,125.4056,
542,Kununurra,AU,75.18,broken clouds,-15.7667,128.7333,Hotel Kununurra
544,Ixtapa,MX,80.22,clear sky,20.7,-105.2,hotel la terminal
545,Itoman,JP,75.22,overcast clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
547,San Juan Capistrano,US,81.59,few clouds,33.5017,-117.6626,Residence Inn by Marriott Dana Point San Juan Capistrano
548,Palmer,US,75.81,overcast clouds,42.1584,-72.3287,Wedgewood Motel
549,Gizo,SB,83.52,few clouds,-8.103,156.8419,Imagination Island
550,Amapa,BR,71.53,broken clouds,1.0,-52.0,
555,Urucara,BR,74.59,scattered clouds,-2.5364,-57.76,Pousada Maria Bonita
556,Lamu,KE,80.82,overcast clouds,-2.2717,40.902,Lamu House
